Epoch,Average Loss,Test Accuracy,Learning Rate
1,1.4644,0.5881,0.001
2,1.015,0.6403,0.001
3,0.8316,0.6902,0.001
4,0.7257,0.7603,0.001
5,0.6552,0.7414,0.001
6,0.5992,0.7524,0.001
7,0.5699,0.7795,0.001
8,0.5332,0.7589,0.001
9,0.5097,0.7906,0.001
10,0.4882,0.8142,0.001
11,0.4629,0.821,0.001
12,0.4566,0.8225,0.001
13,0.4387,0.822,0.001
14,0.4251,0.8227,0.001
15,0.4113,0.8416,0.001
16,0.3987,0.8302,0.001
17,0.385,0.852,0.001
18,0.3749,0.8315,0.001
19,0.3626,0.8292,0.001
20,0.358,0.8659,0.001
21,0.3429,0.8606,0.001
22,0.3418,0.8465,0.001
23,0.3284,0.8506,0.001
24,0.3296,0.8534,0.001
25,0.3172,0.8688,0.001
26,0.3139,0.8676,0.001
27,0.3078,0.8422,0.001
28,0.3008,0.8675,0.001
29,0.2972,0.865,0.001
30,0.2972,0.8806,0.001
31,0.2821,0.8655,0.001
32,0.2827,0.865,0.001
33,0.2767,0.8802,0.001
34,0.2719,0.8668,0.001
35,0.2653,0.8822,0.001
36,0.2649,0.8753,0.001
37,0.2585,0.872,0.001
38,0.2606,0.8809,0.001
39,0.2512,0.8845,0.001
40,0.243,0.8694,0.001
41,0.2486,0.8864,0.001
42,0.2421,0.8834,0.001
43,0.2407,0.8878,0.001
44,0.2372,0.8904,0.001
45,0.238,0.8839,0.001
46,0.2284,0.8791,0.001
47,0.2304,0.8907,0.001
48,0.2282,0.8904,0.001
49,0.2243,0.8855,0.001
50,0.2264,0.8946,0.001
51,0.2214,0.8909,0.001
52,0.2183,0.891,0.001
53,0.2191,0.8931,0.001
54,0.2139,0.8875,0.001
55,0.2109,0.8955,0.001
56,0.2071,0.8945,0.001
57,0.2124,0.8945,0.001
58,0.2027,0.8832,0.001
59,0.2051,0.8924,0.001
60,0.2039,0.8947,0.001
61,0.2003,0.899,0.001
62,0.2037,0.8935,0.001
63,0.1986,0.8898,0.001
64,0.1935,0.8934,0.001
65,0.2016,0.8929,0.001
66,0.1955,0.8913,0.001
67,0.1959,0.8965,0.001
68,0.1314,0.9216,0.001
69,0.1085,0.9235,0.001
70,0.0989,0.925,0.001
71,0.0904,0.9249,0.001
72,0.0844,0.9251,0.001
73,0.0823,0.9273,0.001
74,0.0775,0.9255,0.001
75,0.0742,0.9262,0.001
76,0.0704,0.9275,0.001
77,0.0685,0.9278,0.001
78,0.0649,0.9274,0.001
79,0.0633,0.9246,0.001
80,0.0598,0.9253,0.001
81,0.04,0.9279,0.001
82,0.0367,0.9283,0.001
83,0.0357,0.9275,0.001
84,0.0353,0.9287,0.001
85,0.0352,0.9283,0.001
86,0.0344,0.9295,0.001
87,0.0327,0.9281,0.001
88,0.0326,0.9298,0.001
89,0.0323,0.9311,0.001
90,0.032,0.929,0.001
91,0.0317,0.9295,0.001
92,0.0299,0.9293,0.001
93,0.0299,0.9314,0.001
94,0.0305,0.93,0.001
95,0.0307,0.9301,0.001
96,0.0286,0.9309,0.001
97,0.0277,0.9296,0.001
98,0.0283,0.9309,0.001
99,0.0291,0.9292,0.001
100,0.028,0.9301,0.001
101,0.0278,0.9303,0.001
102,0.0272,0.9315,0.001
103,0.0275,0.9292,0.001
104,0.0277,0.9297,0.001
105,0.0265,0.9308,0.001
106,0.0263,0.9312,0.001
107,0.0251,0.9292,0.001
108,0.026,0.9306,0.001
109,0.0259,0.9312,0.001
110,0.0258,0.932,0.001
111,0.0248,0.9307,0.001
112,0.0255,0.9317,0.001
113,0.0249,0.932,0.001
114,0.0256,0.9324,0.001
115,0.0252,0.9302,0.001
116,0.0243,0.9297,0.001
117,0.0239,0.931,0.001
118,0.0253,0.9304,0.001
119,0.0229,0.9302,0.001
120,0.023,0.9293,0.001
121,0.0244,0.9299,0.001
122,0.0224,0.9303,0.001
123,0.0221,0.9302,0.001
124,0.0227,0.9315,0.001
125,0.0221,0.9306,0.001
126,0.022,0.9305,0.001
127,0.0216,0.9313,0.001
128,0.022,0.9309,0.001
129,0.0229,0.9307,0.001
130,0.0217,0.9316,0.001
131,0.0229,0.9319,0.001
132,0.0221,0.9309,0.001
133,0.0228,0.9319,0.001
134,0.0215,0.9311,0.001
135,0.0217,0.9316,0.001
136,0.0215,0.9306,0.001
137,0.0225,0.9313,0.001
138,0.0218,0.9317,0.001
139,0.0223,0.9318,0.001
140,0.0212,0.9315,0.001
141,0.0219,0.9315,0.001
142,0.0213,0.9319,0.001
143,0.0217,0.9318,0.001
144,0.0207,0.9316,0.001
145,0.0226,0.9311,0.001
146,0.0215,0.9314,0.001
147,0.0213,0.9322,0.001
148,0.0208,0.9322,0.001
149,0.0207,0.9319,0.001
150,0.0215,0.9313,0.001
151,0.0212,0.9317,0.001
152,0.0211,0.932,0.001
153,0.0218,0.9319,0.001
154,0.0216,0.9332,0.001
155,0.0201,0.9319,0.001
156,0.0213,0.932,0.001
157,0.0216,0.9322,0.001
158,0.021,0.9324,0.001
159,0.0207,0.9308,0.001
160,0.0219,0.9314,0.001
